rating,enrollment,grade_span,name,address
55,466,9-12,Andalusia High School,"701 THIRD ST, Andalusia"
75,348,6-8,Andalusia Middle School,"1201 C C BAKER AVE, Andalusia"
59,220,OK-9,Anderson Junior High School,"201 BAYLES ST, Anderson"
86,546,PK-5,Anna F Booth Elementary School,"17001 HURRICANE BLVD, Irvington"
8,595,9-12,Anniston High School,"1301 WOODSTOCK AVE, Anniston"
13,552,6-8,Anniston Middle School,"4800 MCCLELLAN BLVD, Anniston"
33,686,OK-12,Appalachian  School,"350 COUNTY HIGHWAY 12, Oneonta"
93,607,3-5,Arab Elementary School,"241 8TH AVE NE, Arab"
83,765,9-12,Arab High School,"511 ARABIAN DR NE, Arab"
93,583,6-8,Arab Junior High School,"911 OLD CULLMAN RD, Arab"
80,537,PK-2,Arab Primary School,"121 MIMOSA ST NE, Arab"
57,391,OK-5,Arcadia Elementary School,"3740 ARCADIA DR, Tuscaloosa"
16,606,9-12,Alamosa High School,"805 CRAFT DRIVE, Alamosa"
-,55,6-12,Alamosa Open School,"216 VICTORIA STREET, Alamosa"
-,358,K-2,Alice Terry Elementary School,"4485 SOUTH IRVING STREET, Englewood"
2,247,K-6,Allendale Elementary School,"5900 OAK STREET, Arvada"
54,493,PK-5,Alpine Elementary School,"2005 ALPINE STREET, Longmont"
32,537,PK-5,Alsup Elementary School,"7101 BIRCH STREET, Commerce City"
-,84,K-6,Alta Vista Charter School,"8785 ROAD LL, Lamar"
87,676,5-8,Altona Middle School,"4600 CLOVER BASIN DRIVE, Longmont"
-,445,PK-5,Altura Elementary School,"1650 ALTURA BLVD, Aurora"
88,518,K-8,American Academy At Castle Pines Charter School,"8600 PARK MEADOWS DRIVE, Lone Tree"
66,231,K-5,Ames Elementary School,"7300 SOUTH CLERMONT DRIVE, Littleton"
-,507,PK-5,Amesse Elementary School,"5440 SCRANTON STREET, Denver"
44,K-06,,ANNE WATSON ELEMENTARY SCHOOL,"2768 HIGHWAY 60 EAST, Bigelow town"
54,07-09,,ANNIE CAMP JR. HIGH SCHOOL,"1814 WEST NETTLETON AVENUE, Jonesboro city"
81,K-04,,APPLE GLEN ELEMENTARY SCHOOL,"1801 ORCHARD LANE, Bentonville city"
41,09-12,,ARKADELPHIA HIGH SCHOOL,"401 HIGH SCHOOL ROAD, Arkadelphia city"
11,09-12,,ARKANSAS HIGH SCHOOL,"1500 JEFFERSON AVENUE, Texarkana city"
100,11-12,,"ARKANSAS SCHOOL FOR MATHEMATICS, SCIENCES AND THE ARTS","200 WHITTINGTON AVE, Hot Springs city"
-,K-06,,ARKANSAS SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED ELEMENTARY,"2600 WEST MARKHAM ST, Little Rock city"
8,07-12,,ARKANSAS SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED HIGH SCHOOL,"2600 WEST MARKHAM ST, Little Rock city"
-,K-08,,ARKANSAS SCHOOL FOR THE DEAF ELEMENTARY,"2400 WEST MARKHAM, Little Rock city"
-,09-12,,ARKANSAS SCHOOL FOR THE DEAF HIGH SCHOOL,"2400 WEST MARKHAM, Little Rock city"
69,930,6-12,Ardmore High School,"30285 ARDMORE AVE, Ardmore"
51,660,OK-12,Ariton School,"P O BOX 750, Ariton"
13,440,6-8,Arrington Middle School,"2101 JEFFERSON AVE SW, Birmingham"
38,919,OK-12,Asbury School,"1990 ASBURY RD, Albertville"
33,870,OK-6,Ashford Elementary School,"100 BARFIELD ST, Ashford"
38,767,7-12,Ashford High School,"607 CHURCH ST, Ashford"
45,623,OK-6,Ashland Elementary School,"P O BOX 128, Ashland"
50,468,PK-4,Ashville Elementary School,"33225 HIGHWAY 231, Ashville"
53,380,9-12,Ashville High School,"33215 US HIGHWAY 231, Ashville"
61,343,5-8,Ashville Middle School,"P O BOX 340, Ashville"
54,290,OK-4,Athens Elementary School,"515 N MADISON ST, Athens"
34,551,6-8,Angevine Middle School,"1150 SOUTH BOULDER ROAD, Lafayette"
75,256,PK-5,Animas Valley Elementary School,"373 HERMOSA MEADOWS ROAD, Durango"
49,788,PK-5,Antelope Ridge Elementary School,"5455 SOUTH TEMPE STREET, Aurora"
83,517,PK-5,Antelope Trails Elementary School,"15280 JESSIE DRIVE, Colorado Springs"
-,112,9-12,Antonito High School,"620 PINE STREET, Antonito"
-,43,7-8,Antonito Junior High School,"620 PINE STREET, Antonito"
61,387,PK-5,Appleton Elementary School,"2358 H ROAD, Grand Junction"
42,487,PK-5,Aragon Elementary School,"211 SOUTH MAIN STREET, Fountain"
75,"2,220",9-12,Arapahoe High School,"2201 EAST DRY CREEK ROAD, Littleton"
54,644,K-5,Arapahoe Ridge Elementary School,"13095 PECOS STREET, Westminster"
-,225,6-12,Arapahoe Ridge High School,"6600 ARAPAHOE AVENUE, Boulder"
-,53,7-12,Archuleta County High School,"4TH & LEWIS, Pagosa Springs"
70,K-06,,ARMOREL ELEMENTARY SCHOOL,"4555 NORTH STATE HIGHWAY 137, ARMOREL"
55,07-12,,ARMOREL HIGH SCHOOL,"4555 NORTH STATE HIGHWAY 137, ARMOREL"
95,P-05,,ARNOLD DRIVE ELEMENTARY SCHOOL,"4150 ARNOLD DRIVE, Jacksonville city"
75,K-06,,ARRIE GOFORTH ELEMENTARY SCHOOL,"161 MILDRED SIMPSON, Norfork city"
38,K-05,,ASBELL ELEMENTARY SCHOOL,"1500 NORTH SANG AVENUE, Fayetteville city"
34,09-12,,ASHDOWN HIGH SCHOOL,"171 SOUTH LOCUST STREET, Ashdown city"
33,06-08,,ASHDOWN JUNIOR HIGH SCHOOL,"600 SOUTH ELLEN DR, Ashdown city"
64,K-04,,ATKINS ELEMENTARY SCHOOL,"611 NW 4TH ST, Atkins city"
54,09-12,,ATKINS HIGH SCHOOL,"403 AVENUE THREE NW, Atkins city"
79,05-08,,ATKINS MIDDLE SCHOOL,"611 NW 4TH ST., Atkins city"
14,PK-07,,AUGUSTA ELEMENTARY SCHOOL,"320 SYCAMORE STREET, Augusta city"
6,08-12,,AUGUSTA HIGH SCHOOL,"320 SYCAMORE STREET, Augusta city"
86,834,9-12,Athens High School,"P O BOX 109, Athens"
80,435,5-6,Athens Intermediate School,"1916 US HWY 72 W., Athens"
86,429,7-8,Athens Middle School,"601 S CLINTON ST, Athens"
81,458,-,Auburn Early Education Center School,"721 E UNIVERSITY DR, Auburn"
79,"1,128",10-12,Auburn High School,"405 S DEAN RD, Auburn"
90,848,8-9,Auburn Junior High School,"332 SAMFORD AVE, Auburn"
-,230,PK-12,Augusta Evans School,"100 N FLORIDA ST, Mobile"
54,"1,561",9-12,Austin High School,"1625 DANVILLE RD SW, Decatur"
11,359,PK-5,Austinville Elementary School,"2320 CLARA AVE SW, Decatur"
22,361,OK-12,Autaugaville School,"P O BOX 99, Autaugaville"
-,589,PK-5,Archuleta Elementary School,"16000 MAXWELL PLACE, Denver"
-,74,PK-6,Arickaree Elementary School,"12155 COUNTY ROAD NN, Anton"
-,38,7-12,Arickaree Undivided High School,"12155 COUNTY ROAD NN, Anton"
6,532,PK-5,Arkansas Elementary School,"17301 EAST ARKANSAS AVE, Aurora"
9,643,PK-5,Arrowhead Elementary School,"19100 EAST BATES AVENUE, Aurora"
-,10,5-12,Arrowhead Learning Center School,"109 BROOKDALE STREET, Buena Vista"
52,576,PK-6,Arrowwood Elementary School,"10345 ARROWWOOD DRIVE, Highlands Ranch"
4,"1,364",9-12,Arvada High School,"7951 WEST 65TH AVENUE, Arvada"
86,273,7-8,Arvada Middle School,"5751 BALSAM STREET, Arvada"
66,"1,664",9-12,Arvada West High School,"11325 ALLENDALE DRIVE, Arvada"
62,316,PK-5,Asbury Elementary School,"1320 EAST ASBURY AVENUE, Denver"
-,K-01,,AVONDALE ELEMENTARY SCHOOL,"1402 CRESTMERE, West Memphis city"
9,07-12,,BADGER ACADEMY CHARTER SCHOOL,"401 WEST CENTER STREET, Beebe city"
64,02-04,,BADGER ELEMENTARY SCHOOL,"1201 WEST CENTER STREET, Beebe city"
87,K-05,,BAKER INTERDISTRICT ELEM. SCHOOL,"15001 KANIS ROAD, Little Rock city"
56,09-12,,BALD KNOB HIGH SCHOOL,"901 NORTH HICKORY ST, Bald Knob city"
58,05-08,,BALD KNOB MIDDLE SCHOOL,"103 WEST PARK ST, Bald Knob city"
42,K-04,,BALDWIN ELEMENTARY SCHOOL,"612 WEST MUELLER STREET, Paragould city"
11,PK-05,,BALE ELEMENTARY SCHOOL,"6501 WEST 32 STREET, Little Rock city"
58,K-06,,BALLMAN ELEMENTARY SCHOOL,"2601 SOUTH Q STREET, Fort Smith city"
49,K-06,,BARLING ELEMENTARY SCHOOL,"1400 D STREET, Barling city"
51,K-06,,BARTON ELEMENTARY SCHOOL,"9446 HIGHWAY 85 SOUTH, BARTON"
5,282,K-6,Academy Of Dover Charter School,"104 SAULSBURY ROAD, Dover"
-,58,K-12,Allen (Richard) School,"316 SOUTH RAILROAD AVENUE, Georgetown"
89,247,PK-K,Appoquinimink Early Childhood Center School,"502 SOUTH BROAD STREET, Middletown"
13,358,OK-5,Avondale Elementary School,"4000 8TH CT S, Birmingham"
58,571,OK-8,Bagley Junior High School,"8581 TATE MILL RD, Dora"
71,2,9-12,Baker High School,"8901 AIRPORT BLVD, Mobile"
98,592,6-8,Baldwin Art And Academics Magnet School,"410 S MCDONOUGH ST, Montgomery"
40,1,9-12,Baldwin County High School,"ONE TIGER DR, Bay Minette"
77,301,5-8,Bankhead Middle School,"110 SCHOOL ROAD, Cordova"
66,347,OK-8,Banks School,"9769 N. U. S. HWY. 29, Banks"
21,387,PK-5,Banks-Caddell Elementary School,"211 GORDON DRIVE SE, Decatur"
39,327,9-12,Barbour County High School,"P O BOX 339, Clayton"
11,235,3-5,Barbour County Intermediate School,"PO BOX 429, Louisville"
5,266,6-8,Barbour County Middle School,"PO BOX 459, Louisville"
1,276,PK-2,Barbour County Primary School,"P O BOX 549, Clayton"
-,353,PK-5,Ashley Elementary School,"1914 SYRACUSE STREET, Denver"
75,121,PK-8,Aspen Community Charter School,"1199 WOODY CREEK ROAD, Woody Creek"
64,912,K-8,Aspen Creek K-8 Elementary School,"5500 ASPEN CREEK DRIVE, Broomfield"
47,472,PK-5,Aspen Crossing Elementary School,"4655 S HIMALAYA STREET, Centennial"
76,508,PK-4,Aspen Elementary School,"0235 HIGH SCHOOL ROAD, Aspen"
55,519,9-12,Aspen High School,"0235 HIGH SCHOOL ROAD, Aspen"
68,447,5-8,Aspen Middle School,"0235 HIGH SCHOOL ROAD, Aspen"
-,38,-,Aspen Pre- School,"0235 HIGH SCHOOL ROAD, Aspen"
14,101,9-12,Aspen Valley High School,"1450 CHAPEL HILLS DRIVE, Colorado Springs"
10,316,PK-8,Audubon Elementary School,"2400 EAST VAN BUREN STREET, Colorado Springs"
52,493,K-8,Aurora Academy Charter School,"10251 EAST 1ST AVE, Aurora"
19,"2,247",9-12,Aurora Central High School,"11700 EAST 11TH AVE, Aurora"
34,07-12,,BARTON HIGH SCHOOL,"9446 HIGHWAY 85 SOUTH, BARTON"
67,07-08,,BARTON JR. HIGH SCHOOL,"400 WEST FAULKNER STREET, El Dorado city"
3,PK-05,,BASELINE ELEMENTARY SCHOOL,"3623 BASELINE ROAD, Little Rock city"
12,P-05,,BATES ELEMENTARY SCHOOL,"14300 DINEEN DRIVE, Little Rock city"
72,10-12,,BATESVILLE HIGH SCHOOL,"#1 PIONEER DRIVE, Batesville city"
83,07-09,,BATESVILLE JUNIOR HIGH SCHOOL,"#2 PIONEER DRIVE, Batesville city"
55,07-12,,BAUXITE HIGH SCHOOL,"800 SCHOOL STREET, Bauxite town"
66,K-06,,BAY ELEMENTARY SCHOOL,"700 SCHOOL STREET, Bay city"
43,07-12,,BAY HIGH SCHOOL,"700 SCHOOL STREET, Bay city"
56,PK-05,,BAYOU METO ELEMENTARY SCHOOL,"26405 HIGHWAY 107, Jacksonville city"
34,K-05,,BAYYARI ELEMENTARY SCHOOL,"2199 SCOTTSDALE STREET, Springdale city"
96,555,PK-5,Baltimore (Lord) Elementary School,"252 CLAYTON AVENUE, Frankford"
27,623,K-5,Baltz (Austin D.) Elementary School,"1500 SPRUCE AVENUE, Wilmington"
21,854,K-6,Bancroft Intermediate School,"700 NORTH LOMBARD STREET, Wilmington"
92,637,1-5,Banneker (Benjamin) Elementary School,"449 NORTH STREET, Milford"
32,"1,118",K-6,Bayard Intermediate School,"200 SOUTH DUPONT STREET, Wilmington"
-,-,-,Baylor Womens Correctional Institution School,"660 BAYLOR BOULEVARD, New Castle"
79,483,6-8,Beacon Middle School,"19483 JOHN J. WILLIAMS HIGHWAY, Lewes"
61,"1,235",6-8,Bedford (Gunning) Middle School,"801 COX NECK ROAD, New Castle"
64,468,K-5,Blades Elementary School,"900 SOUTH ARCH STREET, Blades"
88,715,PK-5,Brader (Henry M.) Elementary School,"107 FOUR SEASONS PARKWAY, Newark"
33,"1,238",9-12,Brandywine High School,"1400 FOULK ROAD, Wilmington"
94,872,K-6,Brandywine Springs Elementary School,"2916 DUNCAN ROAD, Wilmington"
91,441,OK-5,Barkley Bridge Elementary School,"2333 BARKLEY BRIDGE RD, Hartselle"
12,526,OK-5,Barrett Elementary School,"7601 DIVISION AVE, Birmingham"
57,567,PK-3,Bay Minette Elementary School,"800 BLACKBURN AVE, Bay Minette"
54,419,4-6,Bay Minette Intermediate School,"600 BLACKBURN AVENUE, Bay Minette"
59,529,7-8,Bay Minette Middle School,"1311 W 13TH ST, Bay Minette"
50,584,OK-6,Bb Comer Memorial Elementary School,"803 SEMINOLE AVE, Sylacauga"
41,552,7-12,Bb Comer Memorial High School,"801 SEMINOLE AVE, Sylacauga"
97,565,OK-5,Bear Exploration Center School,"2525 CHURCHILL DR, Montgomery"
42,157,OK-6,Beatrice Elementary School,"P O BOX 68, Beatrice"
63,799,PK-4,Beauregard Elementary School,"300 LEE ROAD 431, Opelika"
55,584,9-12,Beauregard High School,"7343 AL HIGHWAY 51, Opelika"
16,606,K-8,Aurora Frontier K-8 School,"3200 S JERICHO WAY, Aurora"
45,"1,063",6-8,Aurora Hills Middle School,"1009 SOUTH UVALDA ST, Aurora"
-,835,-,Aurora Public Child Development Center School,"1420 LAREDO ST, Aurora"
100,160,1-6,Aurora Quest Academy School,"472 SOUTH WHEELING ST, Aurora"
37,404,PK-5,Avery/Parsons Elementary School,"516 EAST MAIN STREET, Buena Vista"
-,384,K-5,Avon Elementary School,"805 WEST BEAVER CREEK, Avon"
46,211,PK-5,Avondale Elementary School,"213 HIGHWAY 50 EAST, Avondale"
-,467,K-2,Ayres Elementary School,"1812 ROBIN ROAD, Sterling"
25,201,K-5,B F Kitchen Elementary School,"915 DEBORAH DRIVE, Loveland"
-,159,-,Backpack Early Learning Academy School,"822 GRAND AVENUE, Delta"
75,536,PK-6,Bacon Elementary School,"5844 SOUTH TIMBERLINE ROAD, Fort Collins"
26,448,5-6,Baker Central School,"300 LAKE STREET, Fort Morgan"
56,K-06,,BEARD ELEMENTARY SCHOOL,"1600 CAVANAUGH ROAD, Fort Smith city"
30,K-06,,BEARDEN ELEMENTARY SCHOOL,"100 OAK AVENUE, Bearden city"
27,07-12,,BEARDEN HIGH SCHOOL,"635 NORTH PLUM, Bearden city"
-,K-01,,BEEBE EARLY CHILDHOOD CENTER,"301 SOUTH HOLLY STREET, Beebe city"
61,PK-04,,BEEBE ELEMENTARY SCHOOL,"1201 WEST CENTER STREET, Beebe city"
53,09-12,,BEEBE HIGH SCHOOL,"1201 WEST CENTER STREET, Beebe city"
74,07-08,,BEEBE JUNIOR HIGH SCHOOL,"1201 WEST CENTER STREET, Beebe city"
62,05-06,,BEEBE MIDDLE SCHOOL,"1201 WEST CENTER STREET, Beebe city"
18,01-06,,BEECH CREST ELEMENTARY SCHOOL,"1020 PLAZA  STREET, West Helena city"
3,06-07,,BELAIR MIDDLE SCHOOL,"1301 COMMERCE ROAD, Pine Bluff city"
-,07-12,,BELLE POINT ALTERNATIVE CENTER,"1501 DODSON AVENUE, Fort Smith city"
99,K-05,,BELLVIEW ELEMENTARY,"5400 SOUTH BELLVIEW ROAD, Rogers city"
44,58,KG-5,A Child's View School,"2846 DREXEL ROAD SUITE 100, Tucson city"
87,375,K-3,Brandywood Elementary School,"2115 ANSON ROAD, Wilmington"
48,320,PK-12,Brennen School,"144 BRENNEN DRIVE, Newark"
80,762,1-5,Brick Mill Elementary School,"378 BRICK MILL ROAD, Middletown"
35,487,K-5,Brittingham (H.O.) Elementary School,"400 MULBERRY STREET, Milton"
40,518,K-5,Brookside Elementary School,"800 MARROWS ROAD, Newark"
85,469,K-5,Brown (W. Reily) Elementary School,"360 WEBBS LANE, Dover"
-,46,-,Bush (Charles W.) School,"101 WHITBY DRIVE, Wilmington"
52,"1,929",8-12,Caesar Rodney High School,"239 OLD NORTH ROAD, Camden Wyoming"
91,833,6-12,Calloway (Cab) Of The Arts School,"100 NORTH DUPONT ROAD, Wilmington"
52,571,1-12,Campus Community School,"21 NORTH BRADFORD STREET, Dover"
44,"1,134",9-12,Cape Henlopen High School,"1250 KINGS HIGHWAY, Lewes"
63,477,OK-12,Belgreen High School,"14220 HWY 187, Russellville"
10,483,7-8,Bellingrath Junior High School,"3488 S COURT ST, Montgomery"
22,611,9-12,Ben C Rain High School,"3125 DAUPHIN ISLAND PKWY, Mobile"
79,219,OK-2,Benjamin Davis Elementary School,"417 MONROE DR NW, Decatur"
49,"1,026",9-12,Benjamin Russell High School,"225 HEARD BLVD, Alexander City"
80,1,6-8,Bernice J Causey Middle School,"2205 MCFARLAND RD., Mobile"
44,333,PK-6,Berry Elementary School,"341 SCHOOL AVENUE, Berry"
41,285,7-12,Berry High School,"18242 HIGHWAY 18 E, Berry"
89,606,5-7,A. Baldwin Middle School,"68 Bullard Drive, Guilford"
-,629,PK-12,A. C. Elementary Special Education School,"350 State Street, North Haven"
20,610,9-12,A. I. Prince Technical High School,"500 Brookfield Street, Hartford"
-,360,PK-5,Baker Elementary School,"3555 WEST 64TH AVENUE, Denver"
38,599,K-8,Banning Lewis Ranch Academy School,"7094 COTTONWOOD TREE DRIVE, Colorado Springs"
-,489,PK-5,Barnum Elementary School,"85 HOOKER STREET, Denver"
48,155,6-8,Barone Middle School,"BOB TUCKER DRIVE, Meeker"
-,250,PK-5,Barrett Elementary School,"2900 RICHARD ALLEN COURT, Denver"
-,262,-,Barton Prekindergarten School,"703 EAST PROSPECT, Fort Collins"
5,578,PK-4,Basalt Elementary School,"151 EAST COTTONWOOD DRIVE, Basalt"
22,497,9-12,Basalt High School,"600 SOUTHSIDE DRIVE, Basalt"
22,443,5-8,Basalt Middle School,"151 COTTONWOOD DRIVE, Basalt"
39,284,PK-5,Bates Elementary School,"702 CRAGMOR ROAD, Colorado Springs"
5,K-05,,BELWOOD ELEMENTARY SCHOOL,"3902 VIRGINIA LANE, North Little Rock city"
88,10-12,,BENTON HIGH SCHOOL,"211 BORDER STREET, Benton city"
83,08-09,,BENTON JUNIOR HIGH SCHOOL,"411 BORDER ST, Benton city"
84,06-07,,BENTON MIDDLE SCHOOL,"204 NORTH COX, Benton city"
86,09-12,,BENTONVILLE HIGH SCHOOL,"1901 SOUTHEAST J STREET, Bentonville city"
87,K-04,,BERGMAN ELEMENTARY SCHOOL,"8949 HIGHWAY 7 NORTH, Harrison city"
71,09-12,,BERGMAN HIGH SCHOOL,"8949 HIGHWAY 7 NORTH, Harrison city"
82,05-08,,BERGMAN MIDDLE SCHOOL,"8949 HIGHWAY 7 NORTH, Harrison city"
89,K-05,,BERNICE YOUNG ELEMENTARY,"301 PIPPEN APPLE CIRCLE, Springdale city"
75,K-02,,BERRYVILLE ELEMENTARY SCHOOL,"902 WEST FREEMAN, Berryville city"
43,09-12,,BERRYVILLE HIGH SCHOOL,"902 WEST TRIMBLE, Berryville city"
22,583,KG-5,A J Mitchell Elementary School,"855 N BAUTISTA ST, Nogales city"
-,-,8-10,A. C. E.,"11279 W GRIER RD, Marana town"
-,360,9-10,AAEC - SMCC Campus,"7050 S. 24TH STREET BUILDING AAEC, Phoenix city"
